------------------------------------------------------------------------
General information
------------------------------------------------------------------------
Input file: 2M_40mis_28d_cpmg.int
Output file: 2M_40mis_28d_cpmg.out
Selected analyzing methods: ['brd', 'contin', 'nnls', 'discrete']
Exp. x range: 0.00010016-0.181546
Minimum T  : 0.00010016
Maximum T  : 0.181546
Exp.  points: 2048
Fitting x range: 0.00010016-0.181546
Minimum T  : 0.00010016
Maximum T  : 0.181546
Fitting  points: 2048
Grid points: 400
Grid spaces: log

# Decay data (EXPERIMENTAL)
           time      intensity
   4.459744e-02   2.588017e-01
   4.468608e-02   2.929831e-01
   4.477472e-02   3.466966e-01
   4.486336e-02   4.394746e-01
   4.495200e-02   3.613458e-01
   4.504064e-02   3.808780e-01
   4.512928e-02   2.832170e-01
   4.521792e-02   4.443576e-01
   4.530656e-02   3.955271e-01
   4.539520e-02   4.101763e-01
   4.548384e-02   2.343864e-01
   4.557248e-02   2.929831e-01
   4.566112e-02   4.101763e-01
   4.574976e-02   3.906441e-01
   4.583840e-02   3.662288e-01
   4.592704e-02   3.857610e-01
   4.601568e-02   2.978661e-01
   4.610432e-02   3.271644e-01
   4.619296e-02   2.881000e-01
   4.628160e-02   2.685678e-01
   4.637024e-02   2.734509e-01
   4.645888e-02   3.418136e-01
   4.654752e-02   1.855559e-01
   4.663616e-02   3.027492e-01
   4.672480e-02   2.978661e-01
   4.681344e-02   3.369305e-01
   4.690208e-02   3.173983e-01
   4.699072e-02   2.050881e-01
   4.707936e-02   2.783339e-01
   4.716800e-02   2.636848e-01
   4.725664e-02   3.711119e-01
   4.734528e-02   2.295034e-01
   4.743392e-02   2.636848e-01
   4.752256e-02   2.539186e-01
   4.761120e-02   2.490356e-01
   4.769984e-02   3.027492e-01
   4.778848e-02   3.027492e-01
   4.787712e-02   3.076322e-01
   4.796576e-02   3.076322e-01
   4.805440e-02   3.857610e-01
   4.814304e-02   2.539186e-01
   4.823168e-02   2.539186e-01
   4.832032e-02   2.929831e-01
   4.840896e-02   2.978661e-01
   4.849760e-02   2.392695e-01
   4.858624e-02   3.466966e-01
   4.867488e-02   3.222814e-01
   4.876352e-02   2.539186e-01
   4.885216e-02   2.441525e-01
   4.894080e-02   2.441525e-01
   4.902944e-02   2.734509e-01
   4.911808e-02   1.611407e-01
   4.920672e-02   3.173983e-01
   4.929536e-02   1.904390e-01
   4.938400e-02   2.539186e-01
   4.947264e-02   2.392695e-01
   4.956128e-02   2.050881e-01
   4.964992e-02   2.588017e-01
   4.973856e-02   1.660237e-01
   4.982720e-02   1.757898e-01
   4.991584e-02   2.050881e-01
   5.000448e-02   1.171932e-01
   5.009312e-02   2.636848e-01
   5.018176e-02   2.978661e-01
   5.027040e-02   2.343864e-01
   5.035904e-02   3.418136e-01
   5.044768e-02   2.588017e-01
   5.053632e-02   2.832170e-01
   5.062496e-02   1.806729e-01
   5.071360e-02   3.369305e-01
   5.080224e-02   2.246203e-01
   5.089088e-02   3.564627e-01
   5.097952e-02   2.148542e-01
   5.106816e-02   3.027492e-01
   5.115680e-02   2.881000e-01
   5.124544e-02   2.343864e-01
   5.133408e-02   9.766102e-02
   5.142272e-02   1.660237e-01
   5.151136e-02   3.076322e-01
   5.160000e-02   2.685678e-01
   5.168864e-02   2.343864e-01
   5.177728e-02   3.271644e-01
   5.186592e-02   2.734509e-01
   5.195456e-02   1.953220e-01
   5.204320e-02   1.611407e-01
   5.213184e-02   2.734509e-01
   5.222048e-02   1.562576e-01
   5.230912e-02   2.490356e-01
   5.239776e-02   2.783339e-01
   5.248640e-02   2.929831e-01
   5.257504e-02   2.197373e-01
   5.266368e-02   2.148542e-01
   5.275232e-02   2.148542e-01
   5.284096e-02   1.562576e-01
   5.292960e-02   3.466966e-01
   5.301824e-02   3.320475e-01
   5.310688e-02   1.660237e-01
   5.319552e-02   1.318424e-01
   5.328416e-02   1.806729e-01
   5.337280e-02   2.685678e-01
   5.346144e-02   5.859661e-02
   5.355008e-02   1.806729e-01
   5.363872e-02   2.343864e-01
   5.372736e-02   1.464915e-01
   5.381600e-02   2.002051e-01
   5.390464e-02   3.418136e-02
   5.399328e-02   1.611407e-01
   5.408192e-02   1.904390e-01
   5.417056e-02   2.246203e-01
   5.425920e-02   2.002051e-01
   5.434784e-02   2.490356e-01
   5.443648e-02   8.301187e-02
   5.452512e-02   2.734509e-01
   5.461376e-02   2.148542e-01
   5.470240e-02   2.832170e-01
   5.479104e-02   1.611407e-01
   5.487968e-02   1.513746e-01
   5.496832e-02   2.490356e-01
   5.505696e-02   2.099712e-01
   5.514560e-02   2.002051e-01
   5.523424e-02   1.904390e-01
   5.532288e-02   2.783339e-01
   5.541152e-02   1.953220e-01
   5.550016e-02   1.367254e-01
   5.558880e-02   2.685678e-01
   5.567744e-02   1.318424e-01
   5.576608e-02   2.832170e-01
   5.585472e-02   1.220763e-01
   5.594336e-02   2.148542e-01
   5.603200e-02   1.953220e-01
   5.612064e-02   1.757898e-01
   5.620928e-02   1.660237e-01
   5.629792e-02   1.904390e-01
   5.638656e-02   1.953220e-01
   5.647520e-02   3.466966e-01
   5.656384e-02   1.953220e-01
   5.665248e-02   2.246203e-01
   5.674112e-02   1.953220e-01
   5.682976e-02   2.050881e-01
   5.691840e-02   2.099712e-01
   5.700704e-02   1.709068e-01
   5.709568e-02   2.099712e-01
   5.718432e-02   1.806729e-01
   5.727296e-02   2.343864e-01
   5.736160e-02   1.416085e-01
   5.745024e-02   2.832170e-01
   5.753888e-02   1.025441e-01
   5.762752e-02   1.416085e-01
   5.771616e-02   6.836271e-02
   5.780480e-02   2.099712e-01
   5.789344e-02   2.197373e-01
   5.798208e-02   1.806729e-01
   5.807072e-02   8.301187e-02
   5.815936e-02   2.099712e-01
   5.824800e-02   1.220763e-01
   5.833664e-02   2.832170e-01
   5.842528e-02   1.660237e-01
   5.851392e-02   1.757898e-01
   5.860256e-02   2.490356e-01
   5.869120e-02   1.025441e-01
   5.877984e-02   2.441525e-01
   5.886848e-02   3.027492e-01
   5.895712e-02   2.343864e-01
   5.904576e-02   1.709068e-01
   5.913440e-02   2.490356e-01
   5.922304e-02   1.123102e-01
   5.931168e-02   2.343864e-01
   5.940032e-02   1.806729e-01
   5.948896e-02   2.343864e-01
   5.957760e-02   2.197373e-01
   5.966624e-02   2.099712e-01
   5.975488e-02   3.662288e-01
   5.984352e-02   1.806729e-01
   5.993216e-02   1.660237e-01
   6.002080e-02   1.123102e-01
   6.010944e-02   4.883051e-02
   6.019808e-02   8.789492e-02
   6.028672e-02   1.416085e-01
   6.037536e-02   1.318424e-01
   6.046400e-02   2.148542e-01
   6.055264e-02   1.660237e-01
   6.064128e-02   1.220763e-01
   6.072992e-02   1.757898e-01
   6.081856e-02   2.392695e-01
   6.090720e-02   2.392695e-01
   6.099584e-02   4.394746e-02
   6.108448e-02   8.789492e-02
   6.117312e-02   1.269593e-01
   6.126176e-02   1.464915e-01
   6.135040e-02   1.025441e-01
   6.143904e-02   9.277797e-02
   6.152768e-02   1.513746e-01
   6.161632e-02   7.812882e-02
   6.170496e-02   4.883051e-03
   6.179360e-02   1.757898e-01
   6.188224e-02   2.343864e-01
   6.197088e-02   2.148542e-01
   6.205952e-02   4.883051e-02
   6.214816e-02   1.953220e-01
   6.223680e-02   1.074271e-01
   6.232544e-02   1.123102e-01
   6.241408e-02  -4.883051e-03
   6.250272e-02   9.766102e-02
   6.259136e-02   1.367254e-01
   6.268000e-02   1.953220e-01
   6.276864e-02   1.318424e-01
   6.285728e-02   1.806729e-01
   6.294592e-02   1.757898e-01
   6.303456e-02   1.904390e-01
   6.312320e-02   5.859661e-02
   6.321184e-02   2.441525e-01
   6.330048e-02   1.660237e-01
   6.338912e-02   2.734509e-01
   6.347776e-02   1.806729e-01
   6.356640e-02  -5.371356e-02
   6.365504e-02   1.367254e-01
   6.374368e-02   1.513746e-01
   6.383232e-02   9.766102e-02
   6.392096e-02   1.806729e-01
   6.400960e-02   1.367254e-01
   6.409824e-02   2.050881e-01
   6.418688e-02   1.855559e-01
   6.427552e-02   1.367254e-01
   6.436416e-02   3.906441e-02
   6.445280e-02   2.246203e-01
   6.454144e-02   1.513746e-01
   6.463008e-02   2.148542e-01
   6.471872e-02   1.367254e-01
   6.480736e-02   5.371356e-02
   6.489600e-02   1.464915e-01
   6.498464e-02   1.513746e-01
   6.507328e-02   5.859661e-02
   6.516192e-02   2.002051e-01
   6.525056e-02   1.904390e-01
   6.533920e-02   1.171932e-01
   6.542784e-02   2.490356e-01
   6.551648e-02   1.562576e-01
   6.560512e-02   1.709068e-01
   6.569376e-02   2.099712e-01
   6.578240e-02   1.367254e-01
   6.587104e-02   6.836271e-02
   6.595968e-02   1.123102e-01
   6.604832e-02   2.197373e-01
   6.613696e-02   2.881000e-01
   6.622560e-02   1.416085e-01
   6.631424e-02   1.806729e-01
   6.640288e-02   1.464915e-02
   6.649152e-02   1.513746e-01
   6.658016e-02   1.464915e-01
   6.666880e-02   8.789492e-02
   6.675744e-02   1.220763e-01
   6.684608e-02   9.766102e-02
   6.693472e-02   1.416085e-01
   6.702336e-02   6.347966e-02
   6.711200e-02   2.929831e-02
   6.720064e-02   1.660237e-01
   6.728928e-02   1.513746e-01
   6.737792e-02   1.709068e-01
   6.746656e-02   1.464915e-01
